-65.274	14.135	0.1	6.0	0
-65.052	14.096	0.1	6.0	0
-64.831	14.068	0.1	6.0	0
-64.616	14.033	0.1	6.0	0
-64.169	13.971	0.1	6.0	0
-63.955	13.947	0.1	6.0	0
-63.734	13.928	0.1	6.0	0
-63.511	13.906	0.1	6.0	0
-63.288	13.878	0.1	6.0	0
-63.066	13.851	0.1	6.0	0
-62.842	13.823	0.1	6.0	0
-55.176	12.944	0.1	6.0	0
-54.953	12.913	0.1	6.0	0
-54.730	12.885	0.1	6.0	0
-54.516	12.873	0.1	6.0	0
-54.294	12.858	0.1	6.0	0
-54.079	12.836	0.1	6.0	0
-53.858	12.812	0.1	6.0	0
-53.642	12.77	0.1	6.0	0
-53.420	12.743	0.1	6.0	0
-53.205	12.716	0.1	6.0	0
-52.982	12.67	0.1	6.0	0
-52.770	12.622	0.1	6.0	0
-52.547	12.579	0.1	6.0	0
-52.324	12.545	0.1	6.0	0
-52.110	12.511	0.1	6.0	0
-51.879	12.482	0.1	6.0	0
-51.656	12.454	0.1	6.0	0
-51.441	12.434	0.1	6.0	0
-51.219	12.403	0.1	6.0	0
-50.996	12.377	0.1	6.0	0
-50.774	12.346	0.1	6.0	0
-50.559	12.345	0.1	6.0	0
-50.336	12.31	0.1	6.0	0
-50.114	12.29	0.1	6.0	0
-49.900	12.256	0.1	6.0	0
-49.463	12.201	0.1	6.0	0
-49.240	12.169	0.1	6.0	0
-49.019	12.171	0.1	6.0	0
-48.797	12.147	0.1	6.0	0
-48.581	12.098	0.1	6.0	0
-47.931	12.013	0.1	6.0	0
-47.707	11.985	0.1	6.0	0
-47.494	11.959	0.1	6.0	0
-47.263	11.93	0.1	6.0	0
-46.825	11.875	0.1	6.0	0
-46.602	11.827	0.1	6.0	0
-46.379	11.812	0.1	6.0	0
-46.166	11.786	0.1	6.0	0
-45.952	11.759	0.1	6.0	0
-45.739	11.721	0.1	6.0	0
-45.523	11.698	0.1	6.0	0
-45.318	11.669	0.1	6.0	0
-45.104	11.655	0.1	6.0	0
-44.883	11.614	0.1	6.0	0
-44.669	11.591	0.1	6.0	0
-44.454	11.564	0.1	6.0	0
-44.240	11.538	0.1	6.0	0
-38.656	10.775	0.1	6.0	0
-38.442	10.757	0.1	6.0	0
-38.228	10.723	0.1	6.0	0
-38.014	10.696	0.1	6.0	0
-37.799	10.669	0.1	6.0	0
-37.587	10.622	0.1	6.0	0
-37.371	10.615	0.1	6.0	0
-37.149	10.61	0.1	6.0	0
-36.935	10.578	0.1	6.0	0
-36.723	10.574	0.1	6.0	0
-36.499	10.535	0.1	6.0	0
-36.285	10.508	0.1	6.0	0
-36.071	10.481	0.1	6.0	0
-35.848	10.448	0.1	6.0	0
-35.634	10.404	0.1	6.0	0
-34.982	10.328	0.1	6.0	0
-34.768	10.296	0.1	6.0	0
-30.608	9.623	0.1	6.0	0
-30.394	9.607	0.1	6.0	0
-30.172	9.574	0.1	6.0	0
-29.949	9.549	0.1	6.0	0
-29.734	9.519	0.1	6.0	0
-29.512	9.494	0.1	6.0	0
-29.289	9.456	0.1	6.0	0
-29.076	9.419	0.1	6.0	0
-28.853	9.394	0.1	6.0	0
-28.631	9.368	0.1	6.0	0
-28.407	9.335	0.1	6.0	0
-28.185	9.31	0.1	6.0	0
-27.963	9.282	0.1	6.0	0
-27.739	9.247	0.1	6.0	0
-27.517	9.191	0.1	6.0	0
-27.293	9.163	0.1	6.0	0
-27.071	9.138	0.1	6.0	0
-26.840	9.098	0.1	6.0	0
-26.618	9.071	0.1	6.0	0
-26.395	9.04	0.1	6.0	0
-26.163	9.009	0.1	6.0	0
-25.941	8.991	0.1	6.0	0
-25.719	8.958	0.1	6.0	0
-25.496	8.934	0.07	4.0	0
-25.496	8.933	0.1	6.0	0
-25.273	8.915	0.1	6.0	0
-25.042	8.866	0.1	6.0	0
-24.811	8.845	0.07	4.0	0
-24.579	8.813	0.07	4.0	0
-24.356	8.775	0.07	4.0	0
-24.135	8.751	0.07	4.0	0
-23.903	8.709	0.07	4.0	0
-23.680	8.665	0.07	4.0	0
-23.450	8.63	0.07	4.0	0
-22.996	8.536	0.07	4.0	0
-22.774	8.489	0.07	4.0	0
-22.542	8.459	0.07	4.0	0
-22.320	8.426	0.07	4.0	0
-22.088	8.378	0.07	4.0	0
-21.857	8.363	0.07	4.0	0
-21.635	8.331	0.07	4.0	0
-21.412	8.303	0.07	4.0	0
-21.180	8.264	0.07	4.0	0
-20.951	8.232	0.07	4.0	0
-20.719	8.182	0.07	4.0	0
-20.495	8.181	0.07	4.0	0
-20.265	8.14	0.07	4.0	0
-20.042	8.136	0.07	4.0	0
-19.812	8.083	0.07	4.0	0
-19.580	8.101	0.07	4.0	0
-19.349	8.07	0.07	4.0	0
-19.127	8.027	0.07	4.0	0
-18.903	8.004	0.07	4.0	0
-18.673	7.959	0.07	4.0	0
-18.441	7.902	0.07	4.0	0
-18.219	7.856	0.07	4.0	0
-17.757	7.74	0.07	4.0	0
